,2036
Robert Lemon,2
who chanced to be there,2
Charles Withers,2
Ralph Marthy,2
Ezra Engle,2
bent by a mortgage,2
Jack Barrington,2
who means no good,2
Robert N. Downing,2
Stoker,2
a tool of Barrington,2
Tip Cotton,2
Buffalo May,2
W. J. McCarthy,2
Yvette,2
Stewart Baird,2
Harrison Dana,2
Mr. Percy Weller,2
Victor Bozart,2
Joe Rogers,2
Jay Melville,2
Gertie Hudson,2
Belle Snow,2
Halle Crouse,2
Viola Williams,2
William Montgomery,2
Carter De Haven,2
Virginia Evans,2
Florence Moore,2
Harry Cooper,2
Max Rogers,2
Bobby North,2
Flo May,2
Myrtle Gilbert,2
Abashie,2
Ole Lawson,2
a Swede lumberjack,2
Jennie Colburn,2
Cora Baxter,2
a New York chorus girl; Bud's sister,2
Horace Weston,2
Hank Scoggins,2
a rube bell-boy,2
Frank Watson,2
Achelous,2
her attendant,2
Jean Adair,2
Mrs. Joel Dixon,2
Gab Biggar,2
"her ""brither,"" a Dewar bairn",2
Weelum Grunt,2
"her ""braw laddie""",2
Susie Slimson,2
Teenie,2
her niece,2
janitor of the town hall,2
villager,2
Louise Carver,2
Thomas Murray,2
Vernon Castle,2
Frances Ross,2
Elizabeth Brice,2
Blossom Seeley,2
Miss Billee Cuppia,2
Wood Goebel,2
Donald Archer,2
Frances Merivale,2
Mazie Mapleson,2
who lisps,2
Ethel Shaw,2
Rose Darling,2
Blanche Walsh,2
Countess Nadine,2
Theodore Babcock,2
Colonel Aliesky,2
twin bud,2
Plantagenet O'Toole,2
"some ""vil""",2
Frank Sherlock,2
George Benn,2
an ex-boatswain,2
Betty Swartz,2
(The Maid),2
Billy Weeks,2
Doncairo,2
a smuggler,2
Farsquita,2
Kings of Aerial Revolving Ladder,2
Bison City Four,2
Arline Sheide,2
Stella,2
"""Missie"" Flo May",2
Judge Shelby,2
Jefferson Jackson Monroe ,2
"from ""Souf"" Carolina",2
Miss Urat,2
Lucille Grey,2
Edw. Blondell,2
Ruben Plump,2
Edna Whistler,2
Elmer Grandin,2
Helene Davis,2
Youth,2
Policeman,2
Servant,2
Everywoman's companion,2
Beauty,2
Vera Light,2
a show girl of the Sun Dodgers Coterie,2
Officer Muldoon,2
Miss Nan Brennan,2
Violet Shaw,2
Mr. Denman Maley,2
Mr. Kenneth Ryan,2
Miss Elsa Reinhardt,2
Leona Bitter,2
Old Man Buker,2
Madeline Delmar,2
Hazel Weston,2
with no place to lay her head,2
Tom Dunn,2
First Shoveler,2
Charles Wyngate,2
Paul Winthrope,2
Irene Enright,2
Gamble,2
Bertie Bluffington,2
the cause    ,2
Miss Helena Aynsleigh,2
Miss Grace Menken,2
Gwen Dubary,2
Mr. Edward Adams,2
Arthur Astill,2
The Whistling Plough Boy,2
Six Musical Cuttys,2
America's Noted Musical Family,2
Nana,2
Glenn Anders,2
Lenox Sanderson,2
the city man,2
Edna Selwyn,2
Amelia,2
Evelyn Jones,2
Frank Muller,2
Hank,2
Alfred Borneman,2
Eben,2
Sam ,2
Gilda,2
Duca di Mantova,2
Lucia,2
Edgard,2
Lord Husten,2
Mr. F. Puliti,2
Lord Artur,2
Raimond,2
Gioconda,2
Mr. E. Ceccott,2
Almaviva,2
Alvise,2
Mme. F. Monti,2
Jacob Kaufman,2
"proprietor of the Kaufman Cloak and Suit Co., New York",2
Stewart Jackson,2
Ted Morgan,2
"buyer for the San Francisco firm of Marshall, Taylor & Co.",2
Eleanor Sutter,2
Ruth Crane,2
a runaway heiress from San Francisco,2
Dorothea Sadlier,2
Ada Baldwin,2
Helen Meher,2
Lisping Girl,2
Grace Hall,2
Suffragette Girl,2
Venita Fitzhugh,2
Princess Stephanie,2
Carrie Burke,2
Grant Mitchell,2
James C. Marlowe,2
"""Andy"" Dempsey",2
landlord of the Palace Hotel,2
Frederick Seaton,2
G. W. Battles,2
the richest man in town,2
Clint Harkins,2
"reporter on the ""Blade""",2
Si Jinks,2
Abe Gunther,2
the 'bus driver,2
Carolyn Gordon,2
Bessie Meers,2
the head waitress,2
Wm. H. Boyd,2
"Horace Daw (""Blackie"")",2
Wallingford's pal,2
S. Sasaki,2
Wallingford's valet,2
Hale Hamilton,2
J. Rufus Wallingford,2
a get-rich-quick man,2
Daniel Sullivan,2
Henry Quigg,2
coal and ice magnate,2
Fletcher Harvey,2
E. B. Lott,2
of the Midland Valley lines,2
a brigand and philanthropist,2
E. F. Taylor,2
Hal Frost,2
Bessie Cottrell,2
Else Dorset,2
Lieutenant Francois,2
Karl Steindler,2
with General Chambert's staff,2
Marie Serini,2
Gimblette,2
Criquet I.'s sister,2
Lizzie Eckert,2
Clarisse,2
Gimblette's maid,2
Ernst Naumann,2
August Meyer-Eigen,2
Ernst Werner,2
Lieschen Schumann,2
Heloise,2
cabaret singer,2
Grete von Mayhof,2
Helen Pomponet,2
a cabaret singer,2
Hans Dobers-Kissling,2
Dora Bregowska,2
Madame Benoit,2
Otto Meyer,2
Professor Benoit,2
Jacob Brust,2
Maurice Beauchamp,2
hotelkeeper,2
Marie Werner,2
Germaine,2
Ice Cream,2
Basille,2
Franklyn Farnum,2
Rocky Rixon,2
cousin of Gettaway,2
Burton Lenihan,2
Helene W. Davis,2
Hebe,2
Edith Warren,2
Rilda,2
Rita Bellaire,2
Susie McChroan,2
Penelope,2
H. R. Haskell,2
Tommy Wade,2
Maxwell Kennedy,2
Jimmy Parker,2
Richard Hall,2
Larry Deane,2
Dick Stewart,2
Charlie Hunt,2
Mabel Callon,2
Mo Mo,2
Perry Alvarez,2
Bo Bo,2
Ednah Bernard,2
Edith Thayer,2
The Messenger of Dawn,2
Melville Anderson,2
a young cousin of the Queen,2
Florida Bellaire,2
"Messrs. Doolan, Cryan, Lovie, Sachs, McCormack, Jackson, Landres, Rubinroff, Edward, Gold, Cardero, Pendergast, Reese, Brunner, Wilson, Nathan, Scott, Cody, Long, Drees, Rose, Bogart, Deem",2
Soldiers,2
Thomas Hardie,2
Fred. Waelder,2
Don Ramon Casava,2
Crown Governor of Guam,2
Asche Kayton (Never Sleep Kayton),2
Head of the Kayton Detective Agency,2
Walter Thomas,2
Bruce Argyle,2
Edwin Holland,2
Albert Bruning,2
Dr. Frederick Kreisler,2
Augustus Leischmann,2
a Government expert,2
Charles Foster,2
Olive Reeves,2
Nancy Thornton,2
Bruce's fiancee,2
Ralph Theadore,2
Samuel Cortwright,2
John J. Pierson,2
Thomas Nash,2
Thomas Horton,2
"""Jim"" Baynes",2
Thomas J. MacMahon,2
Findley,2
one of Kayton's dictograph operators,2
a counterfeiter,2
Frances Alaine,2
Betty Scott,2
Billie West,2
Lea LeLand,2
Cecile Mayo,2
Sir Brian Fitzgerald,2
Carroll Daly,2
George Brennan,2
Dinny O'Mara,2
Edmund Shalet,2
A Bookmaker,2
Katherine Clarendon,2
Patricia Boyer,2
Mrs. Boyer,2
Carolyne McLean,2
Gwendolyn Fairchild,2
Ilka Marie Diehl,2
Lady Dorothy Hammond,2
Sadie Berger,2
an American college student,2
Howard W. Marsh,2
Laczi,2
Billie Busch,2
Klari,2
Postman,2
Eliza Glassford,2
Jane Sawyer,2
Rebecca's maiden aunt,2
Ada Deaves,2
Mrs. Perkins,2
Viola Fortescue,2
Mrs. Simpson,2
Rebecca Rowena Randall,2
Leila Frost,2
Emma Jane Perkins,2
Archie Boyd,2
Jeremiah Cobb,2
village stage-driver,2
Sam Coit,2
Abner Simpson,2
Adam Ladd,2
"(""Mr. Aladdin"")",2
Isabelle Lowe,2
June,2
Eugene Weber,2
John Hale,2
engineer at the Gap,2
Uncle Billy,2
Miss Eva Benton,2
Old Hun,2
Marguerite Abbott,2
Loretty Tolliver,2
Dave's sister,2
Barrett Greenwood,2
Cal Heaton,2
Loretty's beau,2
The Wife,2
S. L. Richardson,2
The Secretary,2
Ethel von Waldron,2
Lady Constance Butler,2
Elizabeth Paige,2
Lady Elizabeth Connolly,2
Fred A. Stone,2
Henry Clay Baxter,2
his manager,2
Edna Bates,2
Diana Bristow,2
another niece,2
Flossie Hope,2
Gustina Jimpson,2
a Swedish maid,2
Lieut. Otto Von Up de Graft,2
an aviator,2
Howard Dyott,2
W. Darrell Gimpley,2
a self-confessed genius,2
another Suffragette,2
Jane Sheridan,2
Gwendolin Hemenway,2
Evelyn Carroll,2
Florence Etherington,2
Fred Emerson,2
Jubal Dunkbury,2
sheriff  ,2
Fred Perrine,2
Mons. De Vaux,2
a wire walker,2
Peggy Preston,2
A Vision,2
Mortimer,2
Dorothy Bertrand,2
Richard Taber,2
Jack Sharpe,2
Edna Hunter,2
Loraine,2
Jefferson De Angelis,2
Pinkerton Kerr,2
"the wireless operator, Mona Island",2
J. W. Wilson,2
Cockeye Morgan,2
Nadine,2
the Pearl Maiden,2
Daisy Leon,2
Alfonse,2
"Kaliko's ""chef""",2
Middie,2
Fritz,2
College Chum of Elinor,2
Louise Groody,2
Priscilla Hubbard,2
Irene Fenwick,2
Ruth Ambrose,2
Edgar Nelson,2
Oscar Dunn,2
Bunny Girl,2
John Bunny,2
matron of the Girls' Dormitory at K,2
Dorothy Wilcox,2
Rholla Rollins,2
Natalie Seymour,2
Cissie Cyril,2
Hal Blake,2
a Junior at K,2
Marie Baxter,2
Bessie Bothwell,2
Mr. Sam Watson,2
Miss Marjorie Blythe,2
Miss Adelaide Mason,2
Miss Rosalie Ceballos,2
Miss Harriet Leidy,2
Miriam Sanford,2
Fannie Bradshaw,2
Launcelot Gaggs,2
Fred Roberts,2
relative of Butts by marriage,2
Stanley Fields,2
Kirglig,2
Ralph Harlowe,2
Martin Enwright,2
Poney Cantor,2
Chambermaid,2
Lady of the Court,2
Imperial Body Guard,2
Charles Brown ,2
Duke of Branford,2
George O'Donnell,2
Col. Vandeveer,2
Annabel Vandeveer,2
Dorothy Maynard,2
Geraldine Pompton,2
Mary Smith,2
Nellie Brown,2
J. Kern,2
Gawkins,2
Amy Russell,2
Neomi Sumers,2
Irma Bertrand,2
Beatrice,2
James Yuncu,2
First Glassblower,2
George Wilson,2
A Batchman,2
Julia Bruns,2
Helen,2
Nellie Could,2
Veronica,2
Marie Dolber,2
Mabel,2
Carrie Lauders,2
Henry Taylor,2
Captain Richard Warrington,2
an American known as Captain Dick,2
William W. Black,2
Lieutenant-Governor Grandet,2
Florenze,2
secretary to Lieutenant-Governor,2
Harriet Marlotte,2
Lizette,2
a Casket Girl,2
Vera De Rosa,2
Elizabeth Keenan,2
Nanette,2
E. Tiernauer,2
East Indian,2
David Klein,2
Night Watchman,2
David Torrence,2
Wm. Steinway Lavine,2
A Waiter,2
Boglosky,2
Emmett Shackleford,2
Shorty,2
Josephine Royle,2
Nat-U-Ritch,2
Willard Robertson,2
Cash Hawkins,2
Herbert Ashton,2
Grouchy,2
a cowboy on Carston's Ranch,2
Richard F. Freeman,2
Mr. A. Mutt,2
William Naughton,2
Jack Weyler,2
W. H. Hallett,2
Capt. Swift,2
"of the steamer ""Insurgent""",2
Mayme Kelso,2
Donna Papricka,2
Georgie Armstrong,2
Chorus Boy,2
Chorus Girlie,2
Joe Errico,2
Helene Violette,2
The District Attorney,2
Bonnie Harvey,2
Miss Boston,2
Mabel Wilson,2
Miss Fresh,2
Fred J. Webber,2
a member of the Jury,2
Mr. John Reinhard,2
Leonard Gomez,2
son of the President of Venezuela,2
Mr. Jack Gardner,2
Mr. Dallas Welford,2
Theophilus Sherry,2
Eleanor Christie,2
Irene Vandervelt,2
Lillian Buchanan,2
Myrtle Stuyvesant,2
Lea F. Leland,2
Ruth Amsterdam,2
Helene Ross,2
Bertha Van Hutten ,2
Eleanor De Puyster,2
Florence Astoria,2
Irene Palmer,2
Helen Van Ness,2
Mr. Carl Jackson,2
J. R. Scott,2
his step-son,2
Mr. Fred'k Clayton,2
his lawyer,2
Miss Marion Nichols,2
Wiggins,2
Miss Virginia Wilson,2
Miss Anna Doherty,2
Mr. Edgar Norris,2
Mr. Fred Sidney,2
his mother,2
Ralph Sumpter,2
Lieut. Crosby,2
Nick  ,2
H. Reeves Smith,2
"William Faraday, J. P.",2
James Raleigh,2
Frederick Powell,2
Margaret Anglin,2
Celia Faraday,2
Maude Granger,2
Mrs. Chisholm Faraday,2
of Chicago,2
John Lawton,2
Joseph S. Marba,2
butler to Richard Ainsley,2
Herbert McKenzie,2
Lord Robert Bromleigh,2
William Morris,2
Dr. Dallas,2
James Kearney,2
Janet Beecher,2
Helen Arany,2
Jane Grey,2
Flora Dallas,2
Mrs. McGinnis,2
Eleanor Verden,2
Miss Roland ,2
Margaret Bradley,2
Mrs. Chatfield,2
Edward Fielding,2
Count D'Eguzon,2
Helene's Uncle,2
Annie Esmond,2
Countess D'Eguzon,2
Helene's Aunt,2
Jerome Patrick,2
Andre D'Eguzon,2
Ernest Lawford,2
Valentin Le Barroyer,2
Marquis De Langelier,2
Edgar Norton,2
Fouques,2
John Holland,2
Mercita Esmonde,2
Jeantine,2
Amy Veness,2
Madame De Verceil,2
Janet Slater,2
Jeanne De Verceil,2
Edgar Norris,2
"Henry Symon Mordaunt, J. P., L. L. D.",2
Mrs. Kilby Cubitt,2
Percival Mordaunt,2
Frank Mason,2
Rev. Mr. Wiltshire,2
Anna Doherty ,2
Miss Marian Nichols,2
Henry M. Johnson,2
Hazel Lewis,2
Raymonde,2
Sophie,2
Mildred Barrett,2
Yvonne  ,2
May Hennessy,2
Suzanne,2
Alice Dovey,2
Angele,2
Craufurd Kent,2
Maurice D'uzac,2
Jessie Lewis,2
The Girl from the Saskatchewan,2
Crapote,2
Alice Hegeman,2
Madame Dondidier,2
A. S. Humerson,2
Louise Kelley,2
La Comtesse de Montanvert,2
Richard Ward,2
Alice Kelly,2
Clarice Van Zandt,2
her sister,2
Thais Magrane,2
Frances Ward,2
Richard's wife,2
Mattie Ferguson,2
Gretchen Jans,2
their aunt,2
Eleanor Woodruff,2
Elise,2
Frances' maid,2
Helen Collier Garrick,2
Malcolm Grindell ,2
Mr. Leggit,2
a Heilander,2
John Sharkey,2
George Ross,2
Hattie Murphy,2
Gretchen Lang,2
Imogene Kelly,2
Mrs. Thatcher,2
Walter Craven,2
John Hargen,2
Helen Dahl,2
Ethel Hargen,2
Murchison,2
Frederick Truesdell,2
Joe Holbrook,2
Maggie Pepper,2
Mary Hampton,2
Ada Darkin,2
Natalie Jerome,2
William J. Kline,2
Johnson,2
Percival T. Moore,2
James Darkin,2
Marie Hudson,2
Johanna,2
Albert Goldberg,2
Franklyn Roberts,2
Detective Bailey,2
Vaughan Trevor,2
Frank Burbeck,2
Frazer Coulter,2
Charles Stedman,2
Grace Weeks,2
Louka,2
Marie Cattell,2
Zora,2
Irene Cattell,2
Thyrsa,2
Maxfield Moree,2
Bigredon,2
a promoter,2
Christie MacDonald,2
Mr. Thomas Conkey,2
Prince Aladar,2
"Visiting Carlsbad Spa at the gala season with her father, His Highness",2
Miss Elgie Bowen,2
Annamirl,2
"The favorite fountain girl at Carlsbad, known as ""The Spring Maid,"" who is courted by a young officer",2
Elizabeth Bell,2
Spaetling,2
Miss Jessie Bradbury,2
Ursula,2
"One of his admiring matinee patrons, has resulted in their being pursued by",2
Gretel,2
Miss Madeline Dailey,2
Hanni,2
Col. Boone,2
Who objects to the water cure,2
Mr. Otto F. Hoffmann,2
Mr. Skinner,2
Baron Rudi,2
"A cousin of Bozena, who, like her, has come to Carlsbad to participate in the annual pageant of the discovery of Carlsbad Spring, which is directed by",2
Evakatl,2
"At whose popular hostelry are sojourning various American visitors, including",2
Mr. Tom McNaughton,2
Roland,2
"The famous English tragedian, whose favorite role is Othello; whose fondness for",2
Mr. Lomax,2
Mazie,2
Mr. Fred C. Jones,2
Leo,2
Mr. Len Litchfield,2
Franz,2
Mawruss Perlmutter,2
Bookkeeper,2
Federal Officers,2
Dolly Gray,2
Miss O'Brien,2
Ethel Brice,2
Katie,2
Addison Vibert,2
Rose Melville,2
Sis Hopkins,2
Helen Ware,2
Helen Lowell,2
Sophie Brush,2
Phyllis Oldham,2
Brick's sister,2
Grace Field,2
Dora Warner,2
Jack's sister,2
Jack Warner,2
Al Wilder,2
Swat Rogers,2
Joseph Maloney,2
Betty La Boulaye,2
Gladys Meyrick,2
Eastern boy,2
Miner,2
Florence Malone,2
Hetty Brice,2
Amy Lesser,2
Pauline Duffield,2
Mrs. Graham,2
Egbert T. Roach,2
Mr. Colton,2
Minnie Williams,2
Mrs. Colton,2
Mr. Hackett,2
Frederick Norman,2
E. M. Holland,2
William Tetlow,2
"Daniel Jarrett, Jr.",2
Clerk,2
Olive Harper Thorne,2
Mrs. Clayton Fitzhugh,2
Pauline Neff,2
Josephine Burroughs,2
Mable Inslee,2
Izetta Jewel,2
Dorothy Hallowell,2
Jamil Abdallah Azam,2
Joseph Rawley,2
Abdullah,2
Ibrahim,2
George Atalla,2
Huezsin,2
Walter Renfort,2
Selin,2
Kyamil Pasha,2
Frederick Hardy,2
Sheikra,2
Tom Azoom,2
A Peasant,2
Sydney Ainsworth,2
Robert Cruikshank,2
Mary Ryan,2
Mary Hilbert,2
Ethel Von Waldron,2
G. H. Beuermann,2
Erville Alderson,2
A Bedouin,2
Minor S. Watson,2
Baron Reuter,2
Humpty Dumpty,2
Gryphon,2
Mad Hatter,2
J. Gunnis Davis,2
Dormouse,2
Frederick Annerly,2
King of Hearts,2
Knave of Hearts,2
Queen of Hearts,2
James Manley,2
Dallas Brown,2
Officer Flannigan,2
Tubby McGirk,2
Hobbs,2
Mary Land,2
Bella Knowles,2
Irma La Pierre,2
Anne Brown,2
Winona Shannon,2
Kit McNair,2
William S. Lyons (as Wm. S. Lyons),2
William Eville (as Wm. Eville),2
A Lamplighter,2
Edgar Halstead,2
Elijah Quimby,2
the caretaker,2
John Bland,2
the millionaire's right hand man,2
John C. King,2
The Owner of Baldpate,2
the cause of it all,2
Helen May,1
Rose Madison,1
the ward of Mr. and Mrs. Hamilton Schuyler,1
Maude Abbe,1
Betty Thompson,1
John Linn,1
The Sheik,1
betrothed to Rose,1
Kathryn Osterman,1
Mrs. Hamilton Schuyler,1
an ex-chorus girl,1
Joe Wall,1
Monsta,1
a Persian servant,1
Rouland Radcliffe,1
Dudley Stephens,1
Louis A. Simon,1
Paul Atkins,1
Paul's valet,1
Emir Shahrud,1
disguised as a Persian chef,1
Thos. F. Reynolds,1
Nehmid Duckin,1
The Khan,1
H. Reed,1
Mr. Hamilton Schuyler,1
the retiring consul,1
Agnes Gordon,1
Mark Fenton,1
Edwin Gordon,1
her husband,1
Frederick Burt,1
Jack Duane,1
An Unknown Man,1
Ed. F. Reynard,1
Jawn Jawnson,1
The Lone Fisherman,1
Mary Norman,1
Mrs. Dewberry,1
Mr. Cosy Koontz,1
The Pawnbroker,1
Mr. John Orman,1
The Wench,1
Mr. Foxy Weesner,1
Maude,1
Fido,1
The Dog,1
Gyp,1
Gabe,1
Police Patrol Horse,1
Lion-hearted Constable,1
Editor Hicksville Bungle,1
George Leach,1
"""Slick"" Jim Dawson",1
Kingsley Benedict,1
"""Bugs"" Naylor",1
William Foran,1
"""Baldy"" Burns",1
Troubador,1
Lieutenant Shapleigh,1
Florence Foley,1
Serge  ,1
(their son),1
Margaret Gordon,1
Princess Nadia,1
Lucille Love,1
Assistant to Joseph Lertora,1
Beau  ,1
Vida Perrin,1
Jannette,1
Albert Phillips,1
Count Alexis Karenina,1
(Minister of State),1
Fred J. Ardath,1
handy boy around the farm,1
Charles Conklin,1
Sheriff Nick Carter Shylock Slumps,1
Joe Lyons,1
Uncle Joshua,1
Fern Marshall,1
Aunt Jane,1
Jack Ardath,1
Manager of Show Troupe,1
Muriel Arlington,1
Miss Maude Powell,1
violin soloist with troupe,1
Mme. Liane Doree,1
Saul Roselle,1
Mme. Johanna Kristoffy,1
"in ""Il Trovatore""",1
Sig. Raimondo Scala,1
"in ""Rigoletto""",1
Sig. Raoul Romito,1
Turriddu,1
"in ""Cavalleria Rusticana""",1
J. Hugh Fish,1
Jack Sherwood,1
Eddie O'Rell,1
"""Skinny"" Carl",1
Frank P. Crumit,1
"""Fat"" Hayes",1
William A. Galpen,1
Alma Moore,1
R. Addis,1
Zeta McDonough,1
Nettie C. Coburn,1
Ethel Adamson,1
Beth Hippler,1
Bob Raymond,1
Yodeling Performer with Norine Carman's All-Star Minstrels,1
Fredrika Slemons,1
Elizabeth Harrigan (Liz),1
Margaret Templeton,1
Florence Elwood,1
Fred McGuirk,1
Howard Grayson,1
(The boss's son),1
Adelaide Lovenberg,1
A Demure Demoiselle and Graceful Grisette,1
Emile Collins,1
Prof. Toepfer,1
Charles Connor,1
A Dancing Hussar,1
Louis Mann,1
Charles Sample,1
Sam Carman,1
Jack Conley,1
Norine Carman,1
Jack Claire,1
Sandy's chum,1
Mons. Marcel,1
Jack Primrose,1
Woe,1
George Baldwin,1
Love   ,1
Valeska Suratt,1
Damosel,1
Frank Walters,1
The Tall Rube,1
Hugh L. Conn,1
Surgeon Louder,1
a military surgeon,1
Edward Bowers,1
The Fat Rube,1
Roger Imhof,1
Private Casey,1
a wounded soldier,1
Sam Mann,1
The New Leader,1
Eva Leigh,1
Member of The Sister Act,1
Tony Ryan,1
The Hick Actor,1
Jack Delman,1
Props,1
Harry Wilson,1
Pianist for Florenze Tempest,1
Harry F. Gilbert,1
The Stage Manager,1
Leighton Stark,1
It   ,1
Irene Timmons,1
She   ,1
the crook's wife,1
Bertine Robinson,1
Mr. Inbad,1
a souse,1
Joseph Roberts,1
Bobby Perkins,1
a police reporter,1
Fred Burton,1
Tom Hadley,1
a plain clothes man,1
Clifford Dempsey,1
Tim Dugan,1
detective attached to the central office,1
John Smith,1
Harry Goodwin,1
John L. Fitzcorbett Sharkey,1
John P. Coleman,1
Reginald Redstocking,1
Taylor Granville,1
Billy Bradley,1
"alias ""The Eel,"" a crook",1
Gordon Dooley,1
Bee Dingas,1
George Loff,1
Gene Carrick,1
Ed. Gallager,1
Admiral Dock,1
"commander of the battleship ""Sandy Hook""",1
Joe Fields,1
Shakey Schultz,1
a sort of sea dog,1
Jack Sheek,1
Bill Bowling,1
a blue-jacket,1
Roy Walling,1
Central Office ,1
Lillian Rambeau,1
Boston Bessie,1
a shoplifter,1
Willard Mack,1
Marjorie Rambeau,1
Molly Hewes,1
Miss Tilne Stork,1
Corinne Sales,1
Assistant to Francis Dooley,1
Marian Chapman,1
Gretchen  ,1
their daughter,1
"""Hansel""",1
Allan Dinehart,1
Frederick Leopold Overocker,1
Ann Heritage,1
Evangeline Darling,1
Perrin Somers,1
Bernard A. Reinold,1
Conrad Hofmeister,1
a German carpenter,1
Curt Karpe,1
Night clerk at the hotel,1
Charles White,1
Anthony Wells,1
a wealthy American   ,1
Tully Langdon,1
Chauffeur  ,1
Harry Langdon,1
Johnny Flattire,1
Virginia Harned,1
Mons. Joe E. Helsey,1
Host introducing Dick The Handwriting Dog,1
W. L. Abingdon,1
Oliver Armstrong,1
David Powell,1
Frank Hazell,1
Neal McCay,1
Harold Hoffman,1
manager at Bloom's,1
Mrs. Elizabeth Blackburn,1
Lucy,1
Madam's maid,1
Grace La Rue,1
Madame Gracia de la Plage,1
