Ad type,Count
"restaurant, cafe, or cabaret",794
pianos,551
cigars and cigarettes,325
The Never Homes: A Musical Kinemacolor in Six Scenes,195
herbal tea laxative,171
bank,156
beer,139
theatre programs and advertising,134
beauty parlor,107
men's and boys' clothing,106
cocoa,99
photography,99
table waters and purified water,95
malted milk and malt extract,93
cheese,87
maternity clothing,66
shoes,65
remedies,85
hats,51
"furniture, carpets, rugs, beds and bedding",50
clothing,46
optometry,45
pawn broker,43
gowns,42
"Victrolas, phonographs, record players, records",42