The Bronx,30
Hokey Pokey: A Pot-pourri of Weber-Fields Reminiscences,18
"Bunty Bulls and Strings: A Parody on ""Bunty Pulls the Strings""",17
Le Claire de La Lune,12
The Never Homes: A Musical Kinemacolor in Six Scenes,10
Hanky Panky: A Jumble of Jollification in Two Acts,9
Between the Acts,9
The Wedding Trip: A New Comic Opera,7
The Hen Pecks: A Musical Panorama in Six Pictures,5
Mama's Baby Boy: A Musical Farce in Three Acts,4
The Squaw Man: A Drama in Four Acts,4
Detective Keen,4
Moral,3
The Burglar's Union,3
The Woman Intervenes,3
Way Down East,3
Sari,3
Seven Keys to Baldpate,3
The Old Town,3
The Misleading Lady,3
Potash & Perlmutter,3
The Concert,3
The Little Cafe,3